Location Searched,Insoection vs Plan Check,Address,Last Activity Date,Last Activity Action,Status of Latest Action,Permit No.,Type of Project,Project Description
palo alto,— Revision Complete,250 Hamilton Av,Jun 2 2016,Permit Issued,Completed,13000-03384,Revision,16000-00593 DEFERED ANCHORAGE DETAILS FOR EQUIPMENT,
palo alto,Plam Check,900 Blake Wilbur Dr,Feb 8 2016,In Plan Check,Not approved,16000-00220,Com Remodel/Repair,CROWN CASTLE: TEMPORARILY RELOCATE ROOFTOP ANTENNAS. ONCE NEW SCREENING WALL IS BUILT BY STANFORD (UNDER SEPARATE PERMIT) RELOCATE ANTENNAS TO NEW SCREEN WALL.,
palo alto,Plam Check,410 Adobe Pl,Mar 22 2016,In Plan Check,Approved,15000-02642,Res Addition & Remodel,15000-02642: REVISION TO FOOTING AND ROOF REFRAMING,
palo alto,— Inspection,835 Thornwood Dr,Mar 14 2011,Permit Issued,Approved,11000-00569,Permit: #11000-00569,REPLACE 40G WATER HEATER,
palo alto,— Inspection,381 Stanford Ave,Mar 21 2011,Permit Issued,Approved,11000-00570,Permit: #11000-00570,REPLACE 40G WATER HEATER,
palo alto,— Inspection,3370 Ross Rd,Nov 13 2015,Finaled,Approved,15000-02603,Res Demolition Garage/Carport/Accy bldg,DEMO EXISTING GARAGE,
palo alto,— Inspection,800 Welch Rd,Aug 7 2012,Permit Issued,Approved,12000-01915,Permit: #12000-01915,STANFORD UNIVERSITY: ADDITION OF FABRIC PANELS ATTACHED TO THE DECK AND FLOOR ON THE SECOND AND THIRD FLOORS.,
palo alto,— Inspection,353 Melville Av,Mar 11 2011,Permit Issued,Approved,11000-00586,Permit: #11000-00586,INSTALL FIRE PIT NEXT TO CABANA ASSOCIATED GAS LINE SHUT OFF KEY VALVE,
palo alto,— Inspection,1067 College Av,Mar 18 2011,Permit Issued,Approved,11000-00585,Permit: #11000-00585,EXISTING SERVICE REMOVED DUE TO UNSAFE CONDITIONS. NEW 200 AMP ELECTRICAL SERVICE RELOCATED TO THE PORCH. LOCATION APPROVED IN THE FIELD BY R. PARKHURST,
palo alto,— Inspection,3889 Magnolia Dr,Oct 31 2012,Permit Issued,Approved,11000-01120,Permit: #11000-01120,SINGLE STORY ADDITION & REMODEL. CONVERT EXISTING GARAGE TO BEDROOM AND ADD A NEW TWO CAR GARAGE  ADD A NEW MASTER BEDROOM WITH BATHROOM. RAISE CEILING HEIGHT AT FAMILY ROOM BY 12-INCHES. AREA OF ADDITION: 908 SF AND AREA OF REMODEL: 924 SF (SEE 11-1112 FOR DEMO),
palo alto,— Inspection,750 Lincoln Av,Mar 17 2011,Permit Issued,Approved,11000-00582,Permit: #11000-00582,CHANGE FURNACE IN SAME LOCATION,
palo alto,— Inspection,1076 E Meadow Cir,Apr 14 2011,Permit Issued,Approved,11000-00581,Permit: #11000-00581,DELL: TI FOR EXISTING TENANT. BUILD WALL FOR NEW CONFERENCE ROOM INSTALL NEW FAN COIL UNIT WITH A CONDENSER ON THE ROOF (980 SF).,
palo alto,— Inspection,201 Loma Verde Av Apt C,May 23 2011,Permit Issued,Approved,11000-00579,Permit: #11000-00579,REPLACE EXISTING WALL HEATER SAME LOCATION - 25000 BTU,
palo alto,— Permit,544 Tennyson Av,Dec 22 2011,Permit Issued,Permit Issued,11000-00578,Permit: #11REV-00521,11-578: CHANGE FROM FORCED AIR HEATING TO HYDRONIC RADIANT WITH BOILER,
palo alto,— Inspection,155 Oregon Av,Mar 15 2011,Permit Issued,Approved,11000-00577,Permit: #11000-00577,155-159 OREGON AVE - TEAR OFF EXISTING ASPHALT SHINGLES INSTALL BASESHEET AND MINERAL SURFACED TORCHDOWN OVER EXISTING SHEATHING (CLASS A 14 SQUARES),
palo alto,— Inspection,831 Kipling St,Jun 27 2013,Permit Issued,Approved,13000-01543,Permit: #13000-01543,MULTIFAMILY REROOF. 28 SQUARES (N) ASPHALT SHINGLES O/ (E) SHEATHING.,
palo alto,— Inspection,693 Wildwood Ln,May 4 2011,Permit Issued,Approved,11000-00574,Permit: #11000-00574,INSTALL GAS LINE FOR NEW COOKTOP,
palo alto,— Inspection,2901 Alma St,Mar 31 2011,Permit Issued,Approved,11000-00580,Permit: #11000-00580,NEW ELECTRICAL PANELS TO 4 UNITS NEW PANEL & METER TO LAUNDRY ROOM.,
palo alto,— Inspection,3500 Emma Ct,Apr 4 2012,Permit Issued,Approved,10000-02919,Permit: #12000-00711,EXTEND STONE VENEER TO MATCH THE EXISTING 4-FOOT HEIGHT ALONG THE ENTIRE FRONT OF THE RESIDENCE.,
palo alto,Plam Check,3075 Hansen Wy,Jun 23 2016,Permit Issued,Approved; inspection required,16000-01369,Com Elect/Plbg/Mech only,INSTALL (2) LEVEL 2 EV CHARGING STATIONS BACK OF PARKING LOT OF BUILDINGS A & B,
palo alto,— Inspection,533 Rhodes Dr,Apr 21 2011,Permit Issued,Approved,11000-00601,Permit: #11000-00601,INSTALL 40 GALLON NATURAL GAS WATER HEATER,
palo alto,— Inspection,805 Colorado Av,Mar 16 2011,Permit Issued,Approved,11000-00600,Permit: #11000-00600,SEWER LINE REPAIR TO CITY CLEANOUT AT PLANTER STRIP -12 FEET TRENCHED METHOD,
palo alto,— Inspection,101 Alma St Unit 708,Jun 15 2016,Finaled,Approved,15000-01401,Res Remodel/Repair,RESIDENTIAL MULTI-FAMILY: CONVERT (E) BALCONY (245 SF) INTO CONDITIONED SPACE WITH (N) SLIDING DOORS AND (N) FIXED WINDOWS AND REPLACE (E) SLIDING DOOR IN (E) ENCLOSED PORTION OF BALCONY NO ELECTRICAL WORK,
palo alto,— Inspection,1563 El Camino Real,Feb 1 2012,Permit Issued,Approved,11000-00596,Permit: #11000-01422,INTERIOR REMODEL OF A ONE STORY HOUSE DUE TO FIRE DAMAGE 1272 SF. GARAGE REMODEL UNDER 11-1423,
palo alto,Plam Check,763 Coastland Dr,Mar 6 2012,Permit Issued,Not approved,11000-01810,Permit: #12REV-00105,11000-01810: ORIGINAL PLANS SHOWED GAS METER BEING RELOCATED REVISION IS TO KEEP (E) GAS METER IN THE (E) LOCATION,
palo alto,— Inspection,3991 Sutherland Dr,Jun 2 2011,Permit Issued,Approved,11000-00998,Permit: #11000-00998,ELECTRIC SERVICE UPGRADE TO 200 AMPS IN SAME LOCATION.,
palo alto,— Inspection,3251 Hanover St Unit 202,May 26 2016,Permit Issued,Not Approved - Not Ready,16000-01293,Com Remodel/Repair,REPLACE AIR HANDLING UNIT AND ASSOCIATED DUCTING LIKE FOR LIKE,
palo alto,— Permit,151 University Av,Jun 24 2016,Permit Issued,Permit Issued,16REV-00238,Revision,15-3091: EXTERIOR WORK AND CANOPY THROUGH 15PLN - 00479.,
palo alto,— Permit,998 San Antonio Av,Apr 11 2013,Permit Issued,Permit Issued,10000-03050,Permit: #13REV-00169,10-3050: DEFERRED STRUCTURAL FOR STEEL FRAMING.,
palo alto,— Inspection,3160 Porter Dr,Apr 1 2016,Permit Issued,Approved,15000-01878,Com Remodel/Repair,REMOVE EXISTING DOMESTIC WATER HEATER TANK AND PUMP IN MECHANICAL YARD AND INSTALL NEW SKIP MOUNTED PACKAGE DHW SYSTEM ON CONCRETE PAD,
palo alto,— Permit,601 Melville Av,Jul 25 2012,Permit Issued,Permit Issued,11000-02939,Permit: #12REV-00398,(REF PERMIT #11-2939) STRUCTURAL REINFORCEMENT OF EXISTING SECOND FLOOR DECK.,
palo alto,— Inspection,4164 El Camino Real,Jun 25 2014,Permit Issued,Approved,14000-00526,Permit: #14000-00526,ZEN HOTEL: REMOVE INTERIOR SPA AND OPEN THE WALL BETWEEN THE FORMER SPA AREA AND EXERCISE ROOM,
palo alto,— Inspection,1151 Amarillo Av,Oct 2 2012,Permit Issued,Approved,12000-02364,Permit: #12000-02364,MULTI-FAMILY REROOF: 22 SQUARES OF COMP SHINGLE O/ (E) PLYWOOD. THERE WILL BE NO CHANGE IN ROOFING MATERIAL OR COLOR,
palo alto,— Inspection,668 Georgia Av,Sep 29 2015,Permit Issued,Approved,15000-02316,Web-Re-roofing,TEAR OFF OLD SHAKE ROOF INSTALL UNDERLAYMENT INSTALL STEELROCK PACIFIC - STEEL STONE COATED ROOFING - ESR3098,
palo alto,— Permit,1823 Middlefield Rd,Feb 23 2012,Permit Issued,Permit Issued,11000-03003,Permit: #12REV-00103,11-3003: RELOCATE ELECTRIC SERVICE TO THE OTHER SIDE OF THE HOUSE AND UPGRADE TO 200 AMPS,
palo alto,— Permit,738 Paul Av,Feb 23 2012,Permit Issued,Permit Issued,12REV-00102,Permit: #12REV-00102,12000-00270: DEFERRED SUBMITTAL FOR TANKLESS WATER HEATER,
palo alto,— Permit,2590 Marshall Dr,Nov 6 2013,Permit Issued,Permit Issued,13000-01307,Permit: #13REV-00688,13-1307: EXTEND ROOF WHERE TRELLIS WAS PREVIOUSLY APPROVED.,
palo alto,Plam Check,1533 Walnut Dr,,,,12000-01803,Permit: #12000-02509,GAS LEAK REPAIR METER WAS RED TAGGED,
palo alto,— Inspection,2979 Alexis Dr,Feb 16 2012,Permit Issued,Approved,11000-02345,Permit: #11000-02345,NEW MOTORIZED ENTRY GATES UNDER 6 FEET HEIGHT.,
palo alto,— Permit,2309 Byron St,Jun 18 2012,Permit Issued,Permit Issued,12000-00417,Permit: #12REV-00328,12-417: FIELD REVISIONS FOR FOUNDATION VAULTED CEILINGS AND ROOF FRAMING.,
palo alto,— Inspection,1711 Webster St,Feb 26 2016,Finaled,Approved,16000-00373,Res Elect/Plbg/Mech only,RESIDENTIAL INSTALL LEVEL 2 TESLA CAR CHARGER ON INTERIOR WALL OF GARAGE,
palo alto,— Inspection,3669 Middlefield Rd,May 27 2015,Permit Issued,Approved,15000-01087,Res Elect/Plbg/Mech only,RESIDENTIAL 5KW ROOFTOP FLUSH MOUNTED PV SYSTEM,
palo alto,— Inspection,749 Loma Verde Av Unit B,Jul 19 2012,Permit Issued,Approved,12000-00410,Permit: #12000-00410,Replace a 40 gal water heater in the same location.,
palo alto,— Inspection,3195 Ross Rd,Mar 8 2012,Permit Issued,Approved,12000-00414,Permit: #12000-00414,REROOF - TEAR OFF SHAKE. RESHEET WITH OSB. INSTALL NEW LIFETIME COMP. CLASS A. 32 SQUARES.,
palo alto,— Inspection,1850 Fulton St,Jan 8 2016,Permit Issued,Approved,15000-03219,Res Elect/Plbg/Mech only,INSTALL LEVEL 2 EVSE ON SIDE GARAGE,
palo alto,Plam Check,925 Forest Av,Mar 8 2016,In Plan Check,Not approved,16000-00077,Res Garage/Carport/Accy bldg,NEW DETACHED GARAGE AND POOL BATH ATTACHED THROUGH BREZEWAY,
palo alto,— Permit,644 Seneca St,Jul 1 2016,Permit Issued,Permit Issued,16REV-00404,Revision,15-2523: REVISED PLANS INCLUDE NEW FIRE PIT ASSOCIATED PLUMBING. RELOCATE WATER CLOSET IN GUEST UNIT.,
palo alto,— Inspection,101 Alma St Unit 804,Jan 22 2013,Permit Issued,Approved,12000-02856,Permit: #12000-02856,KITCHEN REMODEL,
palo alto,— Inspection,355 Ely Pl,Feb 12 2013,Permit Issued,Approved,12000-03050,Permit: #12000-03050,INSTALL FLUSH MOUNT PHOTOVOLTAIC SYSTEM.,
palo alto,— Inspection,330 Ventura Av,Apr 11 2013,Permit Issued,Approved,13000-00948,Permit: #13000-00948,GAS LEAK REPAIR,
palo alto,— Inspection,703 High St,Jul 12 2013,Permit Issued,Approved,13000-01186,Permit: #13000-01186,PARTIAL REROOF: NEW TPO WITH T-24 COMPLIANT 1/4" DENSDECK; NEW R-19 RIGID ISO ON ALL SECTIONS. 120 SQUARES,
palo alto,— Inspection,3846 Magnolia Dr,Feb 9 2015,Permit Issued,Approved,15000-00103,Permit: #15000-00103,FLUSH MOUNTED PHOTOVOLTAIC SYSTEM 4.2 kW SCOPE OF WORK INCLUDES SERVICE UPGRADE FROM 100A TO 200A,
palo alto,— Inspection,3872 Duncan Pl,May 14 2015,Permit Issued,Not approved; corrections required,14000-00992,Res Elect/Plbg/Mech only,RESIDENTIAL EVSE 40 AMP/50 AMP BREAKER NEMA CAR CHARGER,
palo alto,— Inspection,270 El Carmelo Av,May 14 2010,Permit Issued,Rescheduled,10000-00681,Permit: #10000-00999,TEMP POWER,
palo alto,— Inspection,3868 Louis Rd,Sep 23 2010,Permit Issued,Approved,10000-02416,Permit: #10000-02416,REPLACE WATER HEATER IN SAME LOCATION,
palo alto,— Inspection,760 Webster St,Sep 2 2015,Permit Issued,Approved,15000-02288,Res Elect/Plbg/Mech only,NEW AC AND ASSOCIATED ELECTRICAL MECHANICAL.,
palo alto,— Inspection,3125 Maddux Dr,Apr 28 2010,Permit Issued,Approved,10000-00883,Permit: #10000-00883,GAS TEST,
palo alto,— Permit,1090 Los Robles Av,Jun 3 2010,Permit Issued,Permit Issued,10000-00668,Permit: #10REV-00176,10-668: REVISE ROOF FRAMING TO 2x FRAMING,
palo alto,— Permit,356 Iris Wy,Jun 18 2010,PLN - Approved,Permit Issued,10000-00653,Permit: #10REV-00191,10-653: REVISED FOUNDATION DRAWINGS ADD UNDERPINNING AT FRONT & BACK OF HOUSE (NEW GEOTECH LETTER INCLUDED).,
palo alto,— Inspection,463 California Av,Dec 21 2010,Permit Issued,Approved,10000-02759,Permit: #10000-02759,INSTALL BACKFLOW DEVICE ON WATER SERVICE.,
palo alto,— Inspection,302 Manzanita Ave,May 5 2010,,Approved,10000-00638,Permit: #10000-00638,Tear off old shakes Install 1/2" CDX Plywood Install new 30-yr Composition roofing.,
palo alto,— Inspection,409 California Av,Feb 11 2015,Permit Issued,Approved,14000-02679,Com Remodel/Repair,CASUAL CHIC: 1171 SF ON FIRST FLOOR TI A& U&O NO EXTERIOR/STRUCTURAL CHANGES.,
palo alto,— Inspection,612 Forest Av,Jun 2 2010,Permit Issued,Approved,10000-00662,Permit: #10000-00662,KITCHEN REMODEL,
palo alto,— Inspection,569 Addison Av,May 6 2010,Permit Issued,Approved,10000-00658,Permit: #10000-00658,INSTALL BACKFLOW DEVICE ON MAIN LINE,
palo alto,— Inspection,1121 Parkinson Av,Jun 15 2010,Permit Issued,Approved,10000-00657,Permit: #10000-00657,BATHROOM REMODEL ~30 FT^2 AND TUB CHANGEOUT IN OTHER BATHROOM.,
palo alto,— Permit,690 San Antonio Av,Mar 31 2010,Permit Issued,Permit Issued,10000-00656,Permit: #10000-00656,INSTALL ONE ILLUMINATED SIGN PER 09PLN-297.,
palo alto,— Inspection,407 Lytton Av,Apr 13 2010,Permit Issued,Approved,10000-00655,Permit: #10000-00655,INSTALL BACK FLOW DEVICE,
palo alto,— Inspection,400 Hamilton Av Suite 340,May 13 2010,Permit Issued,Approved,10000-00652,Permit: #10000-00652,TENANT IMPROVEMENT; PRIVATE OFFICE AND DEMO DEMISING WALL ~96 FT^2,
palo alto,— Inspection,1568 Channing Av,Jun 15 2015,Permit Issued,Approved,14000-02766,Web-Re-roofing,Tear off two roofs replace any dry rot. Install OSB Radiant Barrier. Install new Composition roof.,
palo alto,— Inspection,286 Walter Hays Dr,Jul 7 2015,Permit Issued,Approved,14000-03260,Permit: #14000-03260,REPLACE WATER AND SEWER LINES WITHIN THE HOUSE,
palo alto,— Inspection,1001 Charleston Rd,Jan 12 2011,Permit Issued,Approved,10000-00667,Permit: #10000-00667,INSTALL BACKFLOW DEVICE 3/4",
palo alto,— Inspection,1711 Guinda St,Apr 29 2010,Permit Issued,Approved,10000-00684,Permit: #10000-00684,REMOVE EXISTING ROOF INSTALL OSB RE-ROOF WITH LANDMARK PLUS 27 SQUARES.,
palo alto,Plam Check,800 High St Unit 118,Nov 20 2015,Permit Issued,Approved,15000-02036,Revision,15000-02036: EXPAND SCOPE OF WORK TO INCLUDE KITCHEN REMODEL (110 SF). REPLACE COUNTERS AND CABINET TOPS,
palo alto,— Inspection,2932 Emerson St,Apr 23 2010,Permit Issued,Approved,10000-00678,Permit: #10000-00678,REPLACE EXISTING WATER HEATER WITH NEW 50 GALLON UNIT.,
palo alto,— Ready To Issue,310 University Av,Jun 16 2016,Approved,Approved,16000-01201,Com Remodel/Repair,TI FOR EXISTING TENANT "JP MORGAN CHASE " 2ND FLOOR INTERIOR REMODEL. SCOPE OF WORK INCLUDES NON STRUCTURAL PARTITIONS CHANGES TO SUSPENDED CEILING HVAC AND ELECTRICAL. NO EXTERIOR CHANGES.,
palo alto,— Inspection,351 Middlefield Rd,Sep 11 2015,Permit Issued,Approved,15000-02330,Res Elect/Plbg/Mech only,SEWER LATERAL REPACEMENT 15-FEET PIPEBURST. ALL WORK ON PRIVATE PROPERTY,
palo alto,Plam Check,1571 Madrono Av,Jul 29 2009,Permit Issued,Approved,09000-00636,Permit: #09REV-00281,08-3043: REVISED KITCHEN LAYOUT KEEP ORIGINAL LAYOUT FOR MSTR BTHRM,
palo alto,— Inspection,4343 Miranda Av,Jun 15 2015,Permit Issued,Approved,14000-02960,Re-roofing,RESIDENTIAL 24 SQUARE COMP REROOF O/ (N) SHEATHING.,
palo alto,Plam Check,825 El Camino Real Bldg B,May 20 2009,,Approved,09REV-00161,Permit: #09REV-00161,08-2829: BLDG B: REMOVE NON-BEARING WALLS TO CREATE PHYSICAL THERAPY ROOM,
palo alto,— Inspection,550 Hamilton Av 110,Jun 10 2015,Permit Issued,Approved,09000-00630,Permit: #09000-00630,SUITE # 110 U&O PERMIT ONLY PROFESSIONAL PSYCHOLOGY CORPORATION 1068 SQUARE FEET,
palo alto,— Permit,292 N California Av,Mar 30 2009,,Permit Issued,09000-00629,Permit: #09000-00629,REPLACE EXISTING WATER HEATER w/NEW 50-GAL WATER HEATER,
palo alto,— Inspection,3319 Vernon Tr,Apr 7 2009,,Approved,09000-00628,Permit: #09000-00628,REPLACE SEWER LATERAL FROM BACK OF CLEANOUT TO HOUSE APPROX 40 FT. PIPE BURST METHOD NO WORK TO BE DONE IN THE PUBLIC RIGHT OF WAY.,
palo alto,— Inspection,761 Montrose Av,Jun 25 2009,,Approved,09000-00624,Permit: #09000-00624,KITCHEN REMODEL,
palo alto,— Permit,101 S California Av Suite D 100 C,May 12 2010,Permit Issued,Permit Issued,09000-00623,Permit: #09000-00623,USE & OCCUPANCY ONLY "LINA HAIR STYLIST" (400-SF) **U&O SENT 6/1/11**,
palo alto,— Inspection,2120 Harvard St,Apr 9 2009,,Approved,09000-00622,Permit: #09000-00622,REPLACE EXISTING FURNACE IN BASEMENT w/NEW YORK FURNACE (60000 BTUs/95.5% EFFICIENCY) REPLACE ALL DUCT WORK,
palo alto,— Inspection,980 Lincoln Av,May 26 2009,,Approved,09000-00621,Permit: #09000-00621,REMODEL HALL BATH,
palo alto,— Inspection,953 Middlefield Rd,Apr 29 2009,,Approved,09000-00632,Permit: #09000-00632,Pitched Section of roof only. Tear off old shake roof. Install 1/2" CDX Plywood. Install 30yr compo roofing.,
palo alto,— Inspection,925 Stanford Av,May 22 2009,,Approved,09000-00643,Permit: #09000-00643,RE-ROOF: TEAR-OFF EXISTING COMP SHINGLES & PLYWOOD INSTALL NEW RADIANT 15/32-IN PLY 30# FELT 40-YR LANDMARK COMP SHINGLES (2000-SF),
palo alto,— Inspection,550 Hamilton Av 200,Apr 29 2009,,Approved,09000-00642,Permit: #09000-00642,USE & OCCUPANCY ONLY - "VINH Q THAI MD" PSYCHIATRIC PRACTICE 2ND-FL SUITE 200 (110-SF). U&O ISSUED 05/13/10 (YSS).,
palo alto,— Inspection,3241 E Bayshore Rd,Oct 26 2015,Finaled,Approved,15000-01801,Re-roofing,COMMERCIAL RE-ROOF 82 SQUARES REMOVE EXISTING TAR AND GRAVEL ROOF AND INSTALL 2-PLY MODIFIED BITUMEN,
palo alto,— Permit,567 Melville Av,Mar 31 2009,,Permit Issued,09000-00634,Permit: #09000-00634,REMOVAL OF METALIC PIPE & REPLACEMENT OF PEX ONLY ON EXPOSED HORIZONTAL PIPING AT CRAWL SPACE.,
palo alto,— Inspection,1675 Middlefield Rd,Nov 6 2015,Permit Issued,Approved,14000-02359,Res Addition & Remodel,RESIDENTIAL TWO STORY ADDITION (884 SF). SCOPE OF WORK INCLUDES TWO NEW TANKLESS WATER HEATERS AND ELECTRIC SERVICE UPGRADE TO 200 AMPS IN THE SAME LOCATION.,
palo alto,— Inspection,960 Clara Dr,Sep 4 2009,Permit Issued,Approved,09000-01825,Permit: #09000-01825,T/O EXISTING ROOF AND REPLACE WITH CERTAINTEED LANDMARK TRI-LAMINATE (27 SQUARES),
palo alto,— Inspection,151 Tasso St,Apr 1 2009,,Scheduled,09000-00647,Permit: #09000-00646,GAS REPAIR,
palo alto,— Permit,1030 Ramona St,Mar 11 2011,Permit Issued,Permit Issued,11REV-00106,Permit: #11REV-00106,08-2358: DEFERRED TRUSS CALCULATIONS,
palo alto,— Inspection,1111 Middlefield Rd,Jun 18 2015,Permit Issued,Approved,14000-00618,Permit: #14000-00618,Tear off current tar & gravel roof. Install new comp roof system per city/county requirements.,
palo alto,— Permit,798 Palo Alto Av,Jun 16 2011,Permit Issued,Permit Issued,10000-00688,Permit: #11REV-00199,10000-00688: UPDATED STRUCTURALS: CONNECTION DETAILS AT STEEL CANOPY STEEL BEAMS @ BAY WINDOW. TRANSFER POSTS AT ROOFLINE CHANGED TO FULL LENGTH SHEAR WALL. STRONGWALL SIZES CHANGED,
palo alto,— Permit,2030 Park Bl,Aug 30 2012,Permit Issued,Permit Issued,12000-01456,Permit: #12REV-00487,12-1456: REVISE FOUNDATION AND ARCHITECTURAL.,
palo alto,— Permit,2782 Waverley St,Jan 3 2013,Permit Issued,Permit Issued,12000-01577,Permit: #13REV-00001,12000-01577: TRESS CALCULATIONS DEFFERED SUBMITTAL.,
palo alto,Plam Check,451 California Av,Jun 23 2016,In Plan Check,Plans received; pending review,16000-01553,Com Remodel/Repair,KALI GREEN GRILL: TI AND U&O FOR A 921 SF RESTAURANT. NEW (2) EXTERIOR MOUNTED TANKLESS WATER HEATER.,
palo alto,— Inspection,2928 Clara Dr,Sep 19 2011,Permit Issued,Approved,10000-03428,Permit: #11000-02122,CONVERT COVERED PATIO ~ 371 SF TO LIVING ROOM.,
palo alto,— Inspection,1852 Edgewood Dr,Mar 16 2011,Permit Issued,Approved,11000-00595,Permit: #11000-00595,REMOVE/REPLACE GAS WATER HEATER,
palo alto,— Inspection,1491 Pitman Av,Mar 1 2016,Permit Issued,Approved,15000-03251,Res Elect/Plbg/Mech only,RESIDENTIAL REPLACE WATER HEATER IN THE SAME LOCATION,
palo alto,— Inspection,1125 University Av,May 19 2016,Approved,Approved,15000-02552,Pool/Spa,NEW POOL AND SPA AND ASSOCIATED EQUIPMENT 930SF,
palo alto,— Inspection,310 University Av Floor 2,Jun 9 2011,Permit Issued,Approved,11000-00614,Permit: #11000-00614,U&O AND TI FOR "AUTONOMY" A SOFTWARE DEVELOPMENT FIRM. **U&O SENT 4/26/12**,
palo alto,Plam Check,850 Middlefield Rd,Apr 21 2016,Permit Issued,Approved,16000-00925,Com Elect/Plbg/Mech only,RELOCATE EXISTING 400AMP MAIN SERVICE PANEL,
palo alto,— Inspection,809 San Antonio Av,Jul 25 2014,VOID,Investigation,13000-01281,Permit: #13000-01281,EV GRID INC: U&O ONLY FOR EV GRID INC. FOR AUTOMOTIVE SYSTEMS DEVELOPMENT: OPEN SHOP SPACE 1100 SQ FT.,
palo alto,— Permit,2211 High St,May 26 2011,Permit Issued,Permit Issued,11000-00610,Permit: #11REV-00219,11000-00610: INSTALL TWO NEW TANKLES WATER HEATERS AND RELOCATE GAS METER,
palo alto,— Permit,242 Margarita Av,Dec 19 2014,Permit Issued,Permit Issued,14000-03216,Permit: #14000-03216,RESIDENTIAL - REPLACE FURNACE IN SAME LOCATION AND REPLACE DUCTING,
palo alto,— Inspection,3798 Laguna Av,Apr 19 2011,Permit Issued,Approved,11000-00607,Permit: #11000-00878,TEMP POWER POLE -PORTA POTTY,
palo alto,— Inspection,3183 South Ct,Mar 18 2011,Permit Issued,Approved,11000-00604,Permit: #11000-00604,remove one layer of composition shingles install 30-lbs felt and install lifetime shingles,
palo alto,— Inspection,1240 College Av,Apr 4 2011,Permit Issued,Not approved; work not finished,11000-00606,Permit: #11000-00606,DEMO SINGLE FAMILY RESIDENCE IN PREPARATION FOR NEW 2-STORY SINGLE FAMILY RESIDENCE WITH BASEMENT ~4032SF 10-266 **DEMO CAN BE ISSUED PRIOR TO PERMIT ISSUANCE SEE ATTACHED LETTER FROM AMY FRENCH UNDER 11-267**,
palo alto,— Inspection,2566 Webster St,Oct 31 2011,Permit Issued,Approved,11000-02798,Permit: #11000-02798,REPLACE 74 SF OF LATHE. STUCCO SHALL BE 3-COATS 7/8-INCH MIN THICKNESS O/ 2 LAYERS OF GRADE D PAPER WITH 26 GA WEEP SCREED,
palo alto,Plam Check,2501 Embarcadero Wy,Apr 20 2016,Permit Issued,Approved,16000-00524,Revision,16000-00524: SPRINKLER REQUIREMENT REMOVED.,
palo alto,— Inspection,4107 Solana Dr,Nov 2 2015,Finaled,Approved,15000-02833,Web-Water Heater - No Tankless,Replace Gas water heater in same location,
palo alto,— Inspection,2825 El Camino Real,Jan 22 2015,Permit Issued,Approved,14000-02002,Permit: #14000-03251,(2) NEW ILLUMINATED WALL SIGNS "XFINITY" 14PLN-428,
palo alto,— Inspection,505 N California Av,May 22 2012,Permit Issued,Cancelled,12000-00422,Permit: #12000-00422,TAKE OUT WALL IN FAMILY ROOM AND INSTALL SUPPORT BEAM. BATHROOM (2) REMODEL.,
palo alto,— Inspection,3401 Hillview Av Bldg A,Mar 9 2012,Permit Issued,Approved,11000-01960,Permit: #11000-01960,INSTALL EMERGENCY BACKUP POWER DIESEL GENERATOR AND CONCRETE ENCLOSURE.,
palo alto,Plam Check,420 Addison Av,,,,10000-03324,Permit: #11REV-00188,REVISE INTERIOR SHEAR WALL LENGHTS AND CLARIFICATION OF FIELD CONDITIONS TO FOUNDATION,
palo alto,Plam Check,180 El Camino,Dec 18 2015,Permit Issued,Approved,14000-03028,Revision,14000-03029: REVISIONS TO ARCHITECTURAL BASE BUILDING DD DRAWING A8.23 REVISED PAREX STANDARD WATERMASTER DETAILS TO MATCH SPECIFICATION TO INCLUDE ADHERED FINISH SYSTEM IN LEU OF MECHANICALLY FASTENED SYSTEM PREVIOUSLY DRAWN,
palo alto,Plam Check,1331 Hamilton Av,Jul 1 2016,In Plan Check,Approved,16000-00537,Res Remodel/Repair,RESIDENTIAL: CONSTRUCTION OF A NEW DETACHED ONE STORY ONE-CAR GARAGE ACCESSORY STRUCTURE (740 SF),
palo alto,— Inspection,101 Alma St Unit 101,Jul 8 2014,Permit Issued,Scheduled,14000-00836,Res Remodel/Repair,UNIT 101: REMODEL TWO BATHROOMS IN THE SAME LOCATION,
palo alto,— Inspection,853 Thornwood Dr,Nov 29 2012,Permit Issued,Approved,12000-02739,Permit: #12000-02739,200 AMP ELECTRIC SERVICE UPGRADE (SAME LOCATION) AND 50 AMP OUTLET FOR TESLA CAR CHARGER,
palo alto,— Inspection,855 California Av,Jun 30 2016,Finaled,Approved,16000-01222,Com Elect/Plbg/Mech only,ENERGIZE PANEL ON (E) STANDBY GENERATOR. ADD SEVEN (6) OUTLETS FOR FUTURE FREEZERS,
palo alto,Plam Check,544 Emerson St,,,,10000-02782,Permit: #12000-00117,COMMERCIAL REROOF ~2500SF; CLASS"A" ASSEMBLY WITH BAY-SEAL SPRAY-APPLIED POLYURETHANE OVER EXISTING BUILT-UP. INSTALL PER UL TGFU-R12134.,
palo alto,— Inspection,561 Center Dr,Jun 19 2015,Permit Issued,Approved,15000-01513,Re-roofing,REROOF WOOD SHAKE PRODUCT PER ESR 1410 CLASS "B" ASSEMBLY 15 SQUARES,
